Model,K,Precision,Recall,F1
TF-IDF,5,0.0979,0.1334,0.1068
TF-IDF,10,0.0789,0.2145,0.1104
TF-IDF,15,0.0664,0.27,0.1027
TF-IDF + Pos,5,0.1093,0.1496,0.1196
TF-IDF + Pos,10,0.0859,0.234,0.1201
TF-IDF + Pos,15,0.0722,0.2957,0.1117
TF-IDF + Pos + Sec,5,0.14,0.1938,0.1539
TF-IDF + Pos + Sec,10,0.105,0.2899,0.147
TF-IDF + Pos + Sec,15,0.0845,0.3473,0.1307
TF-IDF + Pos + Sec + Sem (Full),5,0.1391,0.1938,0.1534
TF-IDF + Pos + Sec + Sem (Full),10,0.1031,0.2857,0.1446
TF-IDF + Pos + Sec + Sem (Full),15,0.0835,0.3461,0.1293
